name,path,row,lat,lon,lat_UL,lon_UL,lat_UR,lon_UR,lat_LL,lon_LL,lat_LR,lon_LR
92_122,92.000000,122.000000,-81.844418,58.618879,-80.929000,63.790000,-82.680000,65.009000,-80.929000,53.448000,-82.680000,52.229000
91_122,91.000000,122.000000,-81.844418,60.163944,-80.929000,65.335000,-82.680000,66.554000,-80.929000,54.993000,-82.680000,53.774000
90_122,90.000000,122.000000,-81.844418,61.709008,-80.929000,66.880000,-82.680000,68.099000,-80.929000,56.538000,-82.680000,55.319000
89_122,89.000000,122.000000,-81.844418,63.254072,-80.929000,68.425000,-82.680000,69.644000,-80.929000,58.083000,-82.680000,56.864000
88_122,88.000000,122.000000,-81.844418,64.799137,-80.929000,69.970000,-82.680000,71.189000,-80.929000,59.628000,-82.680000,58.409000
87_122,87.000000,122.000000,-81.844418,66.344201,-80.929000,71.515000,-82.680000,72.734000,-80.929000,61.173000,-82.680000,59.954000
86_122,86.000000,122.000000,-81.844418,67.889265,-80.929000,73.061000,-82.680000,74.279000,-80.929000,62.718000,-82.680000,61.500000
85_122,85.000000,122.000000,-81.844418,69.434330,-80.929000,74.606000,-82.680000,75.824000,-80.929000,64.263000,-82.680000,63.045000
84_122,84.000000,122.000000,-81.844418,70.979394,-80.929000,76.151000,-82.680000,77.369000,-80.929000,65.808000,-82.680000,64.590000
83_122,83.000000,122.000000,-81.844418,72.524459,-80.929000,77.696000,-82.680000,78.914000,-80.929000,67.353000,-82.680000,66.135000
82_122,82.000000,122.000000,-81.844418,74.069523,-80.929000,79.241000,-82.680000,80.459000,-80.929000,68.898000,-82.680000,67.680000
81_122,81.000000,122.000000,-81.844418,75.614587,-80.929000,80.786000,-82.680000,82.004000,-80.929000,70.443000,-82.680000,69.225000
80_122,80.000000,122.000000,-81.844418,77.159652,-80.929000,82.331000,-82.680000,83.549000,-80.929000,71.988000,-82.680000,70.770000
79_122,79.000000,122.000000,-81.844418,78.704716,-80.929000,83.876000,-82.680000,85.094000,-80.929000,73.533000,-82.680000,72.315000
78_122,78.000000,122.000000,-81.844418,80.249780,-80.929000,85.421000,-82.680000,86.639000,-80.929000,75.079000,-82.680000,73.860000
77_122,77.000000,122.000000,-81.844418,81.794845,-80.929000,86.966000,-82.680000,88.185000,-80.929000,76.624000,-82.680000,75.405000
76_122,76.000000,122.000000,-81.844418,83.339909,-80.929000,88.511000,-82.680000,89.730000,-80.929000,78.169000,-82.680000,76.950000
75_122,75.000000,122.000000,-81.844418,84.884974,-80.929000,90.056000,-82.680000,91.275000,-80.929000,79.714000,-82.680000,78.495000
74_122,74.000000,122.000000,-81.844418,86.430038,-80.929000,91.601000,-82.680000,92.820000,-80.929000,81.259000,-82.680000,80.040000
